Dim1,Dim1Type,TimeDimensionValue,Value,SpatialDimType,SpatialDim
BTSX,SEX,2001,1188 [904-1471],COUNTRY,CAF
BTSX,SEX,2001,121 [92-154],COUNTRY,BHR
BTSX,SEX,2001,1215 [986-1443],COUNTRY,JOR
BTSX,SEX,2001,1230 [1079-1381],COUNTRY,TJK
BTSX,SEX,2001,1252 [995-1510],COUNTRY,SSD
BTSX,SEX,2001,127 [107-147],COUNTRY,TLS
BTSX,SEX,2001,1271 [1123-1419],COUNTRY,BOL
BTSX,SEX,2001,129 [100-158],COUNTRY,GNQ
BTSX,SEX,2001,1298 [1032-1584],COUNTRY,SRB
BTSX,SEX,2001,13 [9-19],COUNTRY,TON
BTSX,SEX,2001,131001 [119861-142989],REGION,EUR
BTSX,SEX,2001,1374 [1195-1565],COUNTRY,CZE
BTSX,SEX,2001,1380 [1203-1580],COUNTRY,HUN
BTSX,SEX,2001,14016 [13277-14793],COUNTRY,MEX
BTSX,SEX,2001,140971 [129693-152724],REGION,AMR
BTSX,SEX,2001,145217 [132875-157476],WORLDBANKINCOMEGROUP,WB_HI
BTSX,SEX,2001,149 [123-174],COUNTRY,COM
BTSX,SEX,2001,15 [4-48],COUNTRY,STP
BTSX,SEX,2001,1537 [1183-1892],COUNTRY,SLE
BTSX,SEX,2001,1541 [1249-1834],COUNTRY,TGO
BTSX,SEX,2001,15414 [14484-16125],COUNTRY,JPN
BTSX,SEX,2001,15670 [12022-19319],COUNTRY,BGD
BTSX,SEX,2001,1590 [1390-1808],COUNTRY,CUB
BTSX,SEX,2001,16 [10-24],COUNTRY,FSM
BTSX,SEX,2001,1610 [1337-1883],COUNTRY,HTI
BTSX,SEX,2001,1633 [1447-1829],COUNTRY,BEL
BTSX,SEX,2001,16666 [12390-20942],COUNTRY,ETH
BTSX,SEX,2001,167 [137-200],COUNTRY,MUS
BTSX,SEX,2001,171 [120-225],COUNTRY,QAT
BTSX,SEX,2001,1739 [1500-1997],COUNTRY,BLR
BTSX,SEX,2001,17471 [12855-21769],COUNTRY,ZAF
BTSX,SEX,2001,178818 [135956-207935],COUNTRY,IND
BTSX,SEX,2001,1791 [1572-2025],COUNTRY,AUS
BTSX,SEX,2001,181 [136-236],COUNTRY,GUY
BTSX,SEX,2001,18402 [14689-22114],COUNTRY,COD
BTSX,SEX,2001,19 [15-24],COUNTRY,MLT
BTSX,SEX,2001,1908 [1527-2407],COUNTRY,ECU
BTSX,SEX,2001,19507 [17168-21846],COUNTRY,VNM
BTSX,SEX,2001,1968 [1534-2402],COUNTRY,BDI
